"prnrnmc"	"isnrnmc"	"prnr"	"prname"	"isnr"	"type"	"council"	"proc"	"counvte"	"proccde"	"issues"	"intro"	"finact"	"pcom"	"pep"	"pat"	"pbe"	"pbu"	"pcr"	"pcy"	"pcz"	"pdk"	"pee"	"pfi"	"pfr"	"pde"	"pel"	"phu"	"pie"	"pit"	"plv"	"plt"	"plu"	"pmt"	"pnl"	"ppl"	"ppt"	"pro"	"psi"	"psk"	"pes"	"pse"	"puk"	"scom"	"sep"	"sat"	"sbe"	"sbu"	"scr"	"scy"	"scz"	"sdk"	"see"	"sfi"	"sfr"	"sde"	"sel"	"shu"	"sie"	"sit"	"slv"	"slt"	"slu"	"smt"	"snl"	"spl"	"spt"	"sro"	"ssi"	"ssk"	"ses"	"sse"	"suk"	"rp"	"out"
65	161	"n99236"	"flax"	"n99236i2"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-11-99"	"27-07-00"	80	0		100					0			100										100							0	0	60	20	0	60	0		0	0	20	0	0	60	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	20	20	100	50
66	162	"n99246"	"CMOmilk"	"n99246i1"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-12-99"	"20-07-00"	0	50		50					100		100	100	100	0		100	0			0		0		100				100	100	0	70	70	0	50	0		0	0	50	0	40	70	60	50	0	50	40	0	0	40	0	50	0	50	0	0	0	70	50	50	100	50
66	163	"n99246"	"CMOmilk"	"n99246i2"	"Reg"	"Agri"	"CNS"	"QMV"	1	2	"10-12-99"	"20-07-00"	0	50	0	0					67		100	0	0	0		0	0			0		0		0				0	100	0	50	60	30	30	0		0	0	70	0	80	30	30	30	0	30	30	0	0	30	0	30	0	30	0	0	0	30	75	30	0	67
67	164	"n99255"	"fishjuv"	"n99255i1"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"30-11-99"	"08-06-00"	100	100	100	100					0		100	100	100	100		100	100			100		100		100				100	0	100	50	60	0	40	0		0	0	70	0	50	60	60	0	0	50	0	0	0	0	0	60	0	40	0	0	0	10	70	70	0	100
67	165	"n99255"	"fishjuv"	"n99255i2"	"Reg"	"Fish"	"CNS"	"QMV"	1	2	"30-11-99"	"08-06-00"	100																							100				83			50	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	65	0	0	0	92
68	166	"n99274"	"ERF"	"n99274i1"	"Dec"	"JHA"	"CNS"	"Unan"	2	3	"14-12-99"	"28-09-00"	100	100	100	100					100		100	100	0	100		100	100			100		100		100				100	100	100	50	80	80	50	0		0	0	40	0	70	80	100	30	0	50	90	0	0	20	0	80	0	70	0	0	0	100	70	80		100
68	167	"n99274"	"ERF"	"n99274i2"	"Dec"	"JHA"	"CNS"	"Unan"	2	3	"14-12-99"	"28-09-00"	0	0	100	100							100	0	0	100		100	100			100		0		100				100	0	0	20	90	100	50	0		0	0	0	0	80	80	100	60	0	80	80	0	0	90	0	90	0	80	0	0	0	90	70	95		20
68	168	"n99274"	"ERF"	"n99274i3"	"Dec"	"JHA"	"CNS"	"Unan"	2	3	"14-12-99"	"28-09-00"	100	0	0	0					0		0	0	0	0		0	0			0		0		0				0	0	0	80	60	50	50	0		0	0	40	0	40	40	70	60	0	50	50	0	0	40	0	50	0	50	0	0	0	50	40	60		0
69	169	"n99276"	"MEDIApl"	"n99276i1"	"Dec"	"Culture"	"CNS"	"Unan"	2	5	"14-12-99"	"20-12-00"	70	100	70	80					74		70	70	60	80		90	100			80		40		70				80	70	50	70	90	70	70	0		0	0	70	0	70	90	70	70	0	80	80	0	0	70	0	80	0	70	0	0	0	70	70	80	0	70
69	170	"n99276"	"MEDIApl"	"n99276i2"	"Dec"	"Culture"	"CNS"	"Unan"	2	5	"14-12-99"	"20-12-00"	80	80	20	20					50		20	100	75	20		0	75			20		50		0				75	75	90	70	70	70	70	0		0	0	70	0	50	90	70	70	0	90	70	0	0	70	0	50	0	90	0	0	0	70	70	90		80
